Date,LT Composite > 10 Yrs,Treasury 20-Yr CMT,Extrapolation Factor
3/6/23,0.004926108,0.004854369,
3/3/23,-0.031026253,-0.028301887,
3/2/23,0.014527845,0.016786571,
3/1/23,0.017241379,0.017073171,
2/28/23,-0.002457002,-0.00243309,
2/27/23,-0.00245098,0,
2/24/23,0.017456359,0.017326733,
2/23/23,-0.012315271,-0.012224939,
2/22/23,-0.009756098,-0.007281553,
2/21/23,0.027568922,0.027431421,
2/17/23,-0.007462687,-0.009876543,
2/16/23,0.017721519,0.020151134,
2/15/23,0.012820513,0.007614213,
2/14/23,0.005154639,0.005102041,
2/13/23,-0.010204082,-0.01010101,
2/10/23,0.018181818,0.015384615,
2/9/23,0.010498688,0.010362694,
2/8/23,-0.002617801,-0.002583979,
2/7/23,0.013262599,0.013089005,
2/6/23,0.01344086,0.013262599,
2/3/23,0.024793388,0.027247956,
2/2/23,0.002762431,0,
2/1/23,-0.032085561,-0.029100529,
1/31/23,-0.002666667,-0.002638522,
1/30/23,0.008064516,0.00530504,
1/27/23,0.002695418,0.005333333,
1/26/23,0.002702703,0.002673797,
1/25/23,0,0.002680965,
1/24/23,-0.015957447,-0.018421053,
1/23/23,0.008042895,0.00795756,
1/20/23,0.021917808,0.021680217,
1/19/23,0.008287293,0.010958904,
1/18/23,-0.037234043,-0.041994751,
1/17/23,0.008042895,0.005277045,
1/13/23,0.010840108,0.016085791,
1/12/23,-0.028947368,-0.028645833,
1/11/23,-0.018087855,-0.017902813,
1/10/23,0.023809524,0.020887728,
1/9/23,-0.005263158,-0.002604167,
1/6/23,-0.030612245,-0.03030303,
1/5/23,-0.002544529,-0.002518892,
1/4/23,-0.02238806,-0.022167488,
1/3/23,-0.02189781,-0.019323671,
12/30/22,0.012315271,0.012224939,
12/29/22,-0.01216545,-0.00968523,
12/28/22,0.00982801,0.007317073,
12/27/22,0.025188917,0.027568922,
12/23/22,0.023195876,0.020460358,
12/22/22,-0.005128205,-0.005089059,
12/21/22,0,-0.002538071,
12/20/22,0.031746032,0.031413613,
12/19/22,0.024390244,0.024128686,
12/16/22,0.013736264,0.010840108,
12/15/22,-0.013550136,-0.013368984,
12/14/22,-0.002702703,0,
12/13/22,-0.021164021,-0.026041667,
12/12/22,0.005319149,0.005235602,
12/9/22,0.027322404,0.029649596,
12/8/22,0.011049724,0.013661202,
12/7/22,-0.02688172,-0.029177719,
12/6/22,-0.023622047,-0.018229167,
12/5/22,0.013297872,0.013192612,
12/2/22,-0.015706806,-0.015584416,
12/1/22,-0.037783375,-0.0375,
11/30/22,-0.0075,-0.004975124,
11/29/22,0.015228426,0.012594458,
11/28/22,0,0,
11/25/22,0,0,
11/23/22,-0.022332506,-0.019753086,
11/22/22,-0.01946472,-0.02173913,
11/21/22,-0.002427184,0.002421308,
11/18/22,0.009803922,0.007317073,
11/17/22,0.012406948,0.017369727,
11/16/22,-0.033573141,-0.04047619,
11/15/22,-0.018823529,-0.018691589,
11/14/22,0.009501188,0.009433962,
11/10/22,-0.058165548,-0.057777778,
11/9/22,0.004494382,0.006711409,
11/8/22,-0.017660044,-0.017582418,
11/7/22,0.015695067,0.013363029,
11/4/22,0.01826484,0.015837104,
11/3/22,0.00228833,0.002267574,
11/2/22,0.006912442,0.009153318,
11/1/22,-0.015873016,-0.015765766,
10/31/22,0.013793103,0.01369863,
10/28/22,0.013986014,0.013888889,
10/27/22,-0.013793103,-0.01369863,
10/26/22,-0.018058691,-0.015730337,
10/25/22,-0.030634573,-0.030501089,
10/24/22,0.013303769,0.011013216,
10/21/22,0.018058691,0.015659955,
10/20/22,0.020737327,0.020547945,
10/19/22,0.026004728,0.025761124,
10/18/22,-0.002358491,-0.004662005,
10/17/22,0.00952381,0.007042254,
10/14/22,0.004784689,0.002352941,
10/13/22,0.014563107,0.016746411,
10/12/22,-0.002421308,-0.002386635,
10/11/22,0.012254902,0.014527845,
10/7/22,0.014925373,0.012254902,
10/6/22,0.007518797,0.007407407,
10/5/22,0.023076923,0.025316456,
10/4/22,-0.007633588,-0.0125,
10/3/22,-0.02238806,-0.019607843,
9/30/22,0.020304569,0.02,
9/29/22,0.005102041,0.005025126,
9/28/22,-0.043902439,-0.040963855,
9/27/22,0.037974684,0.034912718,
9/26/22,0.031331593,0.036175711,
9/23/22,-0.007772021,-0.007692308,
9/22/22,0.043243243,0.045576408,
9/21/22,-0.023746702,-0.026109661,
9/20/22,0.018817204,0.015915119,
9/19/22,-0.002680965,-0.005277045,
9/16/22,0.010840108,0.010666667,
9/15/22,0.005449591,0.00536193,
9/14/22,-0.005420054,-0.005333333,
9/13/22,-0.005390836,-0.002659574,
9/12/22,0.016438356,0.013477089,
9/9/22,0.005509642,0.005420054,
9/8/22,0.008333333,0.005449591,
9/7/22,-0.019073569,-0.018716578,
9/6/22,0.036723164,0.03601108,
9/2/22,-0.008403361,-0.008241758,
9/1/22,0.031791908,0.031161473,
8/31/22,0.011695906,0.011461318,
8/30/22,-0.005813953,-0.002857143,
8/29/22,0.017751479,0.01744186,
8/26/22,-0.008797654,-0.008645533,
8/25/22,-0.022922636,-0.022535211,
8/24/22,0.017492711,0.017191977,
8/23/22,0.005865103,0.002873563,
8/22/22,0.005899705,0.011627907,
8/19/22,0.030395137,0.026865672,
8/18/22,-0.003030303,-0.005934718,
8/17/22,0.015384615,0.018126888,
8/16/22,0.00308642,0,
8/15/22,-0.009174312,-0.008982036,
8/12/22,-0.009090909,-0.01183432,
8/11/22,0.034482759,0.033639144,
8/10/22,0.009493671,0.009259259,
8/9/22,0.006369427,0.00621118,
8/8/22,-0.01875,-0.01529052,
8/5/22,0.035598706,0.038095238,
8/4/22,-0.003225806,-0.006309148,
8/3/22,-0.012738854,-0.01552795,
8/2/22,0.032894737,0.032051282,
8/1/22,-0.028753994,-0.025,
7/29/22,-0.003184713,-0.009287926,
7/28/22,-0.012578616,-0.009202454,
7/27/22,0,-0.003058104,
7/26/22,-0.003134796,-0.00304878,
7/25/22,0.015923567,0.015479876,
7/22/22,-0.030864198,-0.03003003,
7/21/22,-0.02994012,-0.029154519,
7/20/22,0.003003003,0.002923977,
7/19/22,0.009090909,0.008849558,
7/18/22,0.015384615,0.01497006,
7/15/22,-0.006116208,-0.005952381,
7/14/22,0.009259259,0.002985075,
7/13/22,-0.012195122,-0.005934718,
7/12/22,-0.015015015,-0.017492711,
7/11/22,-0.029154519,-0.028328612,
7/8/22,0.023880597,0.023188406,
7/7/22,0.012084592,0.00877193,
7/6/22,0.031152648,0.033232628,
7/5/22,-0.015337423,-0.011940299,
7/1/22,-0.012121212,-0.00887574,
6/30/22,-0.023668639,-0.023121387,
6/29/22,-0.025936599,-0.025352113,
6/28/22,-0.002873563,-0.002808989,
6/27/22,0.014577259,0.014245014,
6/24/22,0.017804154,0.017391304,
6/23/22,-0.011730205,-0.011461318,
6/22/22,-0.042134831,-0.038567493,
6/21/22,0.022988506,0.022535211,
6/17/22,-0.011363636,-0.011142061,
6/16/22,-0.014005602,-0.013736264,
6/15/22,-0.021917808,-0.021505376,
6/14/22,0.011080332,0.010869565,
6/13/22,0.068047337,0.066666667,
6/10/22,0.015015015,0.014705882,
6/9/22,-0.002994012,0,
6/8/22,0.015197568,0.014925373,
6/7/22,-0.017910448,-0.017595308,
6/6/22,0.024464832,0.024024024,
6/3/22,0.009259259,0.009090909,
6/2/22,-0.003076923,-0.003021148,
6/1/22,0.00931677,0.009146341,
5/31/22,0.035369775,0.037974684,
5/27/22,-0.003205128,-0.006289308,
5/26/22,0.006451613,0.012738854,
5/25/22,-0.003215434,-0.006329114,
5/24/22,-0.031152648,-0.030674847,
5/23/22,0.028846154,0.028391167,
5/20/22,-0.018867925,-0.021604938,
5/19/22,-0.00625,0,
5/18/22,-0.033232628,-0.035714286,
5/17/22,0.021604938,0.018181818,
5/16/22,-0.006134969,-0.006024096,
5/13/22,0.03164557,0.031055901,
5/12/22,-0.009404389,-0.009230769,
5/11/22,-0.021472393,-0.018126888,
5/10/22,-0.021021021,-0.020710059,
5/9/22,-0.014792899,-0.014577259,
5/6/22,0.024242424,0.023880597,
5/5/22,0.047619048,0.043613707,
5/4/22,0,0,
5/3/22,-0.015625,-0.015337423,
5/2/22,0.035598706,0.038216561,
4/29/22,0.016447368,0.012903226,
4/28/22,0.00330033,0.006493506,
4/27/22,0.016778523,0.01650165,
4/26/22,-0.009966777,-0.009803922,
4/25/22,-0.025889968,-0.025477707,
4/22/22,0.006514658,0.006410256,
4/21/22,0.016556291,0.012987013,
4/20/22,-0.03514377,-0.034482759,
4/19/22,0.019543974,0.022435897,
4/18/22,0.009868421,0.009708738,
4/14/22,0.04109589,0.04040404,
4/13/22,-0.006802721,-0.006688963,
4/12/22,-0.006756757,-0.009933775,
4/11/22,0.024221453,0.027210884,
4/8/22,0.024822695,0.024390244,
4/7/22,0.025454545,0.021352313,
4/6/22,0.026119403,0.025547445,
4/5/22,0.034749035,0.037878788,
4/4/22,0.019685039,0.015384615,
4/1/22,0.003952569,0.003861004,
3/31/22,-0.015564202,-0.015209125,
3/30/22,-0.019083969,-0.018656716,
3/29/22,-0.015037594,-0.014705882,
3/28/22,-0.011152416,-0.00729927,
3/25/22,0.038610039,0.041825095,
3/24/22,0,-0.00754717,
3/23/22,-0.026315789,-0.022140221,
3/22/22,0.019157088,0.014981273,
3/21/22,0.056680162,0.055335968,
3/18/22,-0.031372549,-0.026923077,
3/17/22,0.015936255,0.015625,
3/16/22,-0.003968254,-0.003891051,
3/15/22,0.003984064,0.00390625,
3/14/22,0.050209205,0.044897959,
3/11/22,-0.004166667,0,
3/10/22,0.030042918,0.029411765,
3/9/22,0.026431718,0.017094017,
3/8/22,0.022522523,0.021834061,
3/7/22,0.018348624,0.02690583,
3/4/22,-0.043859649,-0.038793103,
3/3/22,0,0,
3/2/22,0.060465116,0.059360731,
3/1/22,-0.027149321,-0.026666667,
2/28/22,-0.055555556,-0.050632911,
2/25/22,0.004291845,0.004237288,
2/24/22,0,0,
2/23/22,0.021929825,0.021645022,
2/22/22,0,0.004347826,
2/18/22,-0.025641026,-0.021276596,
2/17/22,-0.012658228,-0.016736402,
2/16/22,-0.008368201,-0.012396694,
2/15/22,0.030172414,0.029787234,
2/14/22,0.022026432,0.02173913,
2/11/22,-0.02991453,-0.029535865,
2/10/22,0.030837004,0.025974026,
2/9/22,0,0,
2/8/22,0.01793722,0.013157895,
2/7/22,-0.008888889,-0.004366812,
2/4/22,0.041666667,0.040909091,
2/3/22,0.018867925,0.013824885,
2/2/22,-0.009345794,-0.00913242,
2/1/22,0.009433962,0.00921659,
1/31/22,0.014354067,0.014018692,
1/28/22,-0.009478673,-0.013824885,
1/27/22,-0.032110092,-0.022522523,
1/26/22,0.023474178,0.018348624,
1/25/22,0.009478673,0.013953488,
1/24/22,0.014423077,0.009389671,
1/21/22,-0.03255814,-0.02739726,
1/20/22,-0.00462963,-0.004545455,
1/19/22,-0.01369863,-0.017857143,
1/18/22,0.028169014,0.027522936,
1/14/22,0.03902439,0.038095238,
1/13/22,-0.019138756,-0.014084507,
1/12/22,0.004807692,0,
1/11/22,-0.014218009,-0.009302326,
1/10/22,0,0,
1/7/22,0.014423077,0.014150943,
1/6/22,0,0,
1/5/22,0.009708738,0.00952381,
1/4/22,0.03,0.024390244,
1/3/22,0.058201058,0.056701031,
12/31/21,-0.010471204,-0.015228426,
12/30/21,-0.015463918,-0.015,
12/29/21,0.031914894,0.030927835,
12/28/21,0.005347594,0.010416667,
12/27/21,-0.010582011,-0.010309278,
12/23/21,0.027173913,0.026455026,
12/22/21,-0.010752688,-0.015625,
12/21/21,0.016393443,0.010526316,
12/20/21,0.016666667,0.016042781,
12/17/21,-0.027027027,-0.020942408,
12/16/21,0,0,
12/15/21,0.027777778,0.021390374,
12/14/21,0,0.005376344,
12/13/21,-0.032258065,-0.02617801,
12/10/21,0.005405405,0,
12/9/21,-0.010695187,-0.010362694,
12/8/21,0.033149171,0.026595745,
12/7/21,0.028409091,0.02173913,
12/6/21,0.041420118,0.039548023,
12/3/21,-0.04519774,-0.053475936,
12/2/21,0,0.016304348,
12/1/21,-0.005617978,-0.005405405,
11/30/21,-0.048128342,-0.041450777,
11/29/21,0.027472527,0.021164021,
11/26/21,-0.071428571,-0.068965517,
11/24/21,-0.024875622,-0.024038462,
11/23/21,0.025510204,0.024630542,
11/22/21,0.037037037,0.041025641,
11/19/21,-0.030769231,-0.029850746,
11/18/21,-0.015151515,-0.014705882,
11/17/21,-0.01,-0.009708738,
11/16/21,0.01010101,0.004878049,
11/15/21,0.03125,0.030150754,
11/12/21,0.015873016,0.015306122,
11/10/21,0.05,0.053763441,
11/9/21,-0.032258065,-0.02617801,
11/8/21,0.016393443,0.015957447,
11/5/21,-0.046875,-0.040816327,
11/4/21,-0.020408163,-0.024875622,
11/3/21,0.015544041,0.020304569,
11/2/21,-0.015306122,-0.019900498,
11/1/21,0.02617801,0.015151515,
10/29/21,-0.005208333,0,
10/28/21,0.015873016,0.025906736,
10/27/21,-0.050251256,-0.049261084,
10/26/21,-0.019704433,-0.019323671,
10/25/21,0.004950495,0.004854369,
10/22/21,-0.019417476,-0.019047619,
10/21/21,0,0.004784689,
10/20/21,0.014778325,0.009661836,
10/19/21,0.041025641,0.040201005,
10/18/21,-0.015151515,-0.014851485,
10/15/21,0.020618557,0.025380711,
