Date,Close/Last,Volume,Open,High,Low
3/6/23,$312.03 ,5660743,$317.00 ,$323.30 ,$311.84 
3/3/23,$315.18 ,5953319,$315.45 ,$317.49 ,$310.82 
3/2/23,$311.88 ,4921053,$310.96 ,$315.57 ,$310.38 
3/1/23,$313.48 ,4911311,$321.55 ,$326.60 ,$312.36 
2/28/23,$322.13 ,3676075,$323.70 ,$327.62 ,$321.17 
2/27/23,$323.03 ,6142580,$323.87 ,$330.00 ,$322.12 
2/24/23,$317.15 ,6830692,$319.30 ,$321.50 ,$314.52 
2/23/23,$323.65 ,13238670,$331.23 ,$331.28 ,$314.30 
2/22/23,$334.88 ,4546249,$337.50 ,$341.91 ,$332.82 
2/21/23,$337.50 ,5710292,$342.85 ,$344.13 ,$336.42 
2/17/23,$347.96 ,5294727,$347.91 ,$349.00 ,$342.44 
2/16/23,$350.71 ,5215726,$355.00 ,$361.50 ,$350.31 
2/15/23,$361.42 ,3969945,$356.63 ,$362.88 ,$354.24 
2/14/23,$359.96 ,4624758,$357.55 ,$363.75 ,$353.40 
2/13/23,$358.57 ,7134445,$349.50 ,$359.70 ,$344.25 
2/10/23,$347.36 ,7291096,$359.16 ,$362.14 ,$347.14 
2/9/23,$362.50 ,6901100,$372.41 ,$373.83 ,$361.74 
2/8/23,$366.83 ,6253179,$360.02 ,$368.19 ,$358.31 
2/7/23,$362.95 ,6289368,$358.51 ,$364.18 ,$354.18 
2/6/23,$361.48 ,4994942,$363.64 ,$368.45 ,$360.68 
2/3/23,$365.90 ,9402034,$359.08 ,$379.43 ,$359.00 
2/2/23,$366.89 ,7856952,$365.16 ,$368.32 ,$358.43 
2/1/23,$361.99 ,8005170,$353.86 ,$365.39 ,$349.91 
1/31/23,$353.86 ,5660738,$349.98 ,$355.95 ,$348.71 
1/30/23,$353.11 ,5127593,$358.44 ,$360.95 ,$352.86 
1/27/23,$360.77 ,6703548,$363.20 ,$365.92 ,$360.59 
1/26/23,$364.87 ,8256844,$368.77 ,$369.02 ,$361.70 
1/25/23,$367.96 ,7766907,$360.57 ,$368.90 ,$358.50 
1/24/23,$363.83 ,11796530,$357.53 ,$365.65 ,$355.14 
1/23/23,$357.42 ,15646850,$341.72 ,$362.25 ,$340.63 
1/20/23,$342.50 ,28430340,$336.79 ,$344.00 ,$332.63 
1/19/23,$315.78 ,18008200,$322.57 ,$324.89 ,$313.39 
1/18/23,$326.33 ,7814115,$326.75 ,$330.08 ,$321.25 
1/17/23,$326.22 ,9246987,$331.08 ,$332.50 ,$323.60 
1/13/23,$332.82 ,8286816,$329.97 ,$336.65 ,$328.89 
1/12/23,$330.13 ,10856250,$332.50 ,$332.95 ,$323.14 
1/11/23,$327.26 ,9579681,$326.50 ,$328.88 ,$321.35 
1/10/23,$327.54 ,13072290,$311.07 ,$329.35 ,$311.07 
1/9/23,$315.17 ,6766628,$316.83 ,$321.70 ,$313.22 
1/6/23,$315.55 ,8959839,$311.57 ,$316.77 ,$303.69 
1/5/23,$309.70 ,8328390,$307.00 ,$314.18 ,$304.55 
1/4/23,$309.41 ,9345054,$298.24 ,$311.14 ,$295.51 
1/3/23,$294.95 ,6763964,$298.06 ,$298.39 ,$288.70 
12/30/22,$294.88 ,7566892,$285.53 ,$295.01 ,$283.22 
12/29/22,$291.12 ,9588527,$283.18 ,$295.50 ,$281.01 
12/28/22,$276.88 ,5964369,$281.92 ,$285.19 ,$273.41 
12/27/22,$284.17 ,5778098,$293.19 ,$293.57 ,$282.13 
12/23/22,$294.97 ,4251108,$296.18 ,$298.46 ,$291.91 
12/22/22,$297.75 ,7856192,$298.09 ,$298.88 ,$290.81 
12/21/22,$297.96 ,6376173,$289.99 ,$300.66 ,$286.50 
12/20/22,$288.19 ,6918114,$281.24 ,$289.28 ,$280.81 
12/19/22,$288.30 ,6163667,$289.73 ,$292.25 ,$286.13 
12/16/22,$290.71 ,14080050,$288.76 ,$294.72 ,$288.70 
12/15/22,$290.41 ,17724560,$302.12 ,$303.39 ,$286.55 
12/14/22,$317.83 ,7543291,$318.97 ,$324.71 ,$314.42 
12/13/22,$320.34 ,10756430,$328.00 ,$332.72 ,$317.20 
12/12/22,$315.18 ,10148610,$320.00 ,$323.18 ,$308.85 
12/9/22,$320.01 ,14364030,$321.45 ,$329.00 ,$319.52 
12/8/22,$310.26 ,7205326,$309.11 ,$312.38 ,$304.81 
12/7/22,$308.42 ,7821634,$306.50 ,$309.61 ,$302.10 
12/6/22,$305.56 ,7195395,$311.00 ,$313.22 ,$303.13 
12/5/22,$312.59 ,8423029,$316.46 ,$322.77 ,$310.92 
12/2/22,$320.41 ,12690600,$310.49 ,$321.99 ,$310.00 
12/1/22,$316.95 ,14664870,$303.99 ,$319.80 ,$303.03 
