Date,Value
1/31/23,0.007995364
12/31/22,-0.003070091
11/30/22,-0.001010026
10/31/22,0.004056494
9/30/22,0.002150785
8/31/22,-0.000354399
7/31/22,-0.000118119
6/30/22,0.013736076
5/31/22,0.011023524
4/30/22,0.005582531
3/31/22,0.01335138
2/28/22,0.009133979
1/31/22,0.008414574
12/31/21,0.003072517
11/30/21,0.004913428
10/31/21,0.008308119
9/30/21,0.002715971
8/31/21,0.002065911
7/31/21,0.004810524
6/30/21,0.009290663
5/31/21,0.008017105
4/30/21,0.008218909
3/31/21,0.007083273
2/28/21,0.005474383
1/31/21,0.004253783
12/31/20,0.000941478
11/30/20,-0.000610627
10/31/20,0.000414938
9/30/20,0.001392747
8/31/20,0.003153211
7/31/20,0.005058244
6/30/20,0.005472047
5/31/20,1.95E-05
4/30/20,-0.006686942
3/31/20,-0.002176451
2/29/20,0.002740618
1/31/20,0.00387977
12/31/19,-0.00090977
11/30/19,-0.000536243
10/31/19,0.002286191
9/30/19,0.000783449
8/31/19,-5.07E-05
7/31/19,0.001670942
6/30/19,0.000199147
5/31/19,0.002128759
4/30/19,0.005295002
3/31/19,0.005641358
2/28/19,0.004227053
1/31/19,0.001906597
12/31/18,-0.003193963
11/30/18,-0.003349349
10/31/18,0.001766763
9/30/18,0.001162025
8/31/18,0.000555542
7/31/18,6.75E-05
6/30/18,0.001593876
5/31/18,0.004158917
4/30/18,0.003975092
3/31/18,0.002261126
2/28/18,0.00453469
1/31/18,0.005447745
12/31/17,-0.000587832
11/30/17,2.43E-05
10/31/17,-0.000632042
9/30/17,0.005294906
8/31/17,0.002994452
7/31/17,-0.000689923
6/30/17,0.000907111
5/31/17,0.000854722
4/30/17,0.002965533
3/31/17,0.000812798
2/28/17,0.003146117
1/31/17,0.005827728
12/31/16,0.000327321
11/30/16,-0.001555461
10/31/16,0.001246749
9/30/16,0.002403996
8/31/16,0.000839404
7/31/16,-0.001622151
6/30/16,0.003338384
5/31/16,0.004075048
4/30/16,0.004741068
3/31/16,0.004306
2/29/16,0.000823077
1/31/16,0.001653102
12/31/15,-0.003417096
11/30/15,-0.00211068
10/31/15,-0.000449684
9/30/15,-0.001556757
8/31/15,-0.001416276
7/31/15,6.70E-05
6/30/15,0.00350287
5/31/15,0.005097232
4/30/15,0.002032873
3/31/15,0.005951722
2/28/15,0.004343045
1/31/15,-0.004705892
12/31/14,-0.005670101
11/30/14,-0.005399418
10/31/14,-0.002512278
9/30/14,0.000752569
8/31/14,-0.001670514
7/31/14,-0.000390194
6/30/14,0.001862127
5/31/14,0.00349261
4/30/14,0.003296754
3/31/14,0.006440044
2/28/14,0.003697909
1/31/14,0.003720248
12/31/13,-8.58E-05
11/30/13,-0.002042424
10/31/13,-0.002575283
9/30/13,0.001163004
8/31/13,0.001202932
7/31/13,0.000393998
6/30/13,0.002399708
5/31/13,0.001780408
4/30/13,-0.001039639
3/31/13,0.002614509
2/28/13,0.00819003
1/31/13,0.002957304
12/31/12,-0.002693064
11/30/12,-0.004738087
10/31/12,-0.000388925
9/30/12,0.004462212
8/31/12,0.005565158
7/31/12,-0.001629786
6/30/12,-0.001466397
5/31/12,-0.001173479
4/30/12,0.00302103
3/31/12,0.007594559
2/29/12,0.004402974
1/31/12,0.004400191
12/31/11,-0.002466516
11/30/11,-0.000843561
10/31/11,-0.002062683
9/30/11,0.001518462
8/31/11,0.002757589
7/31/11,0.000886046
6/30/11,-0.001070967
5/31/11,0.004704188
4/30/11,0.00643943
3/31/11,0.009751072
2/28/11,0.004931365
1/31/11,0.00476323
12/31/10,0.001718441
11/30/10,0.000420646
10/31/10,0.001245199
9/30/10,0.000581736
8/31/10,0.001380664
7/31/10,0.000211043
6/30/10,-0.000976267
5/31/10,0.000775197
4/30/10,0.001736885
3/31/10,0.004106284
2/28/10,0.000249207
1/31/10,0.003417474
12/31/09,-0.001761198
11/30/09,0.000707753
10/31/09,0.000963101
9/30/09,0.000625481
8/31/09,0.00224285
7/31/09,-0.001585587
6/30/09,0.008589892
5/31/09,0.002888764
4/30/09,0.002496368
3/31/09,0.002431748
2/28/09,0.004972933
1/31/09,0.004352417
12/31/08,-0.010342474
11/30/08,-0.019152895
10/31/08,-0.010101333
9/30/08,-0.001383019
8/31/08,-0.003991562
7/31/08,0.005251011
6/30/08,0.010076997
5/31/08,0.008420886
4/30/08,0.006064778
3/31/08,0.008668213
2/29/08,0.002904112
1/31/08,0.004970576
12/31/07,-0.000670863
11/30/07,0.005939618
10/31/07,0.002139191
9/30/07,0.002755907
8/31/07,-0.001833902
7/31/07,-0.000254377
6/30/07,0.001937975
5/31/07,0.006110719
4/30/07,0.006496163
3/31/07,0.009105696
2/28/07,0.005350368
1/31/07,0.003052527
12/31/06,0.001488834
11/30/06,-0.00148662
10/31/06,-0.00542139
9/30/06,-0.004904365
8/31/06,0.001965602
7/31/06,0.002957122
6/30/06,0.001975309
5/31/06,0.004962779
4/30/06,0.008508509
3/31/06,0.005535984
2/28/06,0.002017146
1/31/06,0.007621951
12/31/05,-0.004048583
11/30/05,-0.008032129
10/31/05,0.002012072
9/30/05,0.012219959
8/31/05,0.005117707
7/31/05,0.004627249
6/30/05,0.000514403
5/31/05,-0.001027749
4/30/05,0.006725297
3/31/05,0.007820647
2/28/05,0.005768222
1/31/05,0.002101944
12/31/04,-0.003664921
11/30/04,0.000523834
10/31/04,0.005265929
9/30/04,0.002110818
8/31/04,0.000527983
7/31/04,-0.001581444
6/30/04,0.003172924
5/31/04,0.005851064
4/30/04,0.003201708
3/31/04,0.006444683
2/29/04,0.005399568
1/31/04,0.004883342
12/31/03,-0.001084011
11/30/03,-0.002702703
10/31/03,-0.001079914
9/30/03,0.003250271
8/31/03,0.003806417
7/31/03,0.001088732
6/30/03,0.001089918
5/31/03,-0.001632209
4/30/03,-0.002171553
3/31/03,0.006007646
2/28/03,0.007705008
1/31/03,0.004422333
12/31/02,-0.002206288
11/30/02,0
10/31/02,0.001657459
9/30/02,0.00166021
8/31/02,0.003331483
7/31/02,0.001111729
6/30/02,0.000556174
5/31/02,0
4/30/02,0.005592841
3/31/02,0.005624297
2/28/02,0.003952569
1/31/02,0.002263724
12/31/01,-0.003945885
11/30/01,-0.001688239
10/31/01,-0.003365115
9/30/01,0.004507042
8/31/01,0
7/31/01,-0.002808989
6/30/01,0.001688239
5/31/01,0.004522329
4/30/01,0.003972758
3/31/01,0.002275313
2/28/01,0.003997716
1/31/01,0.006321839
12/31/00,-0.000574383
11/30/00,0.000574713
10/31/00,0.001727116
9/30/00,0.005208333
8/31/00,0
7/31/00,0.002320186
6/30/00,0.005247813
5/31/00,0.001167542
4/30/00,0.000584112
3/31/00,0.008244994
2/29/00,0.005924171
1/31/00,0.002970885
12/31/99,0
11/30/99,0.00059453
10/31/99,0.001786778
9/30/99,0.004787552
8/31/99,0.00239952
7/31/99,0.003008424
6/30/99,0
5/31/99,0
4/30/99,0.007272727
3/31/99,0.003039514
2/28/99,0.001217285
1/31/99,0.002440513
12/31/98,-0.000609756
11/30/98,0
10/31/98,0.002444988
9/30/98,0.00122399
8/31/98,0.00122549
7/31/98,0.001226994
6/30/98,0.001228501
5/31/98,0.001846154
4/30/98,0.001849568
3/31/98,0.001852996
2/28/98,0.001856436
1/31/98,0.001859888
12/31/97,-0.00123839
11/30/97,-0.000618812
10/31/97,0.00248139
9/30/97,0.002487562
8/31/97,0.001869159
7/31/97,0.001247661
6/30/97,0.001249219
5/31/97,-0.00062422
4/30/97,0.00125
3/31/97,0.002506266
2/28/97,0.003142678
1/31/97,0.003152585
12/31/96,0
11/30/96,0.001895136
10/31/96,0.003168568
9/30/96,0.00317864
8/31/96,0.001910828
7/31/96,0.001914486
6/30/96,0.00063857
5/31/96,0.001919386
4/30/96,0.003853565
3/31/96,0.005164622
2/29/96,0.003238342
1/31/96,0.005863192
12/31/95,-0.000651042
11/30/95,-0.000650618
10/31/95,0.003263708
9/30/95,0.001962067
8/31/95,0.002622951
7/31/95,0
6/30/95,0.001971091
5/31/95,0.001974984
4/30/95,0.00330251
3/31/95,0.003313453
2/28/95,0.003992016
1/31/95,0.004008016
12/31/94,0
11/30/94,0.001337793
10/31/94,0.000669344
9/30/94,0.002684564
8/31/94,0.004043127
7/31/94,0.002702703
6/30/94,0.003389831
5/31/94,0.000678426
4/30/94,0.001358696
3/31/94,0.003408316
2/28/94,0.003419973
1/31/94,0.002743484
12/31/93,0
11/30/93,0.000686342
10/31/93,0.004135079
9/30/93,0.002071823
8/31/93,0.002770083
7/31/93,0
6/30/93,0.001386963
5/31/93,0.001388889
4/30/93,0.002785515
3/31/93,0.00349406
2/28/93,0.003506311
1/31/93,0.004933051
12/31/92,-0.000704225
11/30/92,0.001410437
10/31/92,0.00353857
9/30/92,0.002838893
8/31/92,0.002846975
7/31/92,0.0021398
6/30/92,0.003579098
5/31/92,0.001433692
4/30/92,0.00143575
3/31/92,0.005050505
2/29/92,0.003620565
1/31/92,0.001450326
12/31/91,0.000725689
11/30/91,0.002911208
10/31/91,0.001457726
9/30/91,0.004392387
8/31/91,0.002936858
7/31/91,0.001470588
6/30/91,0.002949853
5/31/91,0.00295858
4/30/91,0.001481481
3/31/91,0.00148368
2/28/91,0.001485884
1/31/91,0.005979073
12/31/90,0
11/30/90,0.002247191
10/31/90,0.006028636
9/30/90,0.008358663
8/31/90,0.009202454
7/31/90,0.003849115
6/30/90,0.005417957
5/31/90,0.002327386
4/30/90,0.001554002
3/31/90,0.00546875
2/28/90,0.004709576
1/31/90,0.010309278
12/31/89,0.001588562
11/30/89,0.002388535
10/31/89,0.0048
9/30/89,0.003210273
8/31/89,0.001607717
7/31/89,0.002417405
6/30/89,0.002423263
5/31/89,0.005686434
4/30/89,0.006541292
3/31/89,0.005756579
2/28/89,0.004128819
1/31/89,0.004979253
12/31/88,0.00166251
11/30/88,0.000831947
10/31/88,0.003338898
9/30/88,0.006722689
8/31/88,0.004219409
7/31/88,0.004237288
6/30/88,0.004255319
5/31/88,0.003415884
4/30/88,0.005150215
3/31/88,0.004310345
2/29/88,0.002592913
1/31/88,0.002599653
12/31/87,0
11/30/87,0.000867303
10/31/87,0.002608696
9/30/87,0.005244755
8/31/87,0.005272408
7/31/87,0.002643172
6/30/87,0.003536693
5/31/87,0.003549246
4/30/87,0.005352364
3/31/87,0.004480287
2/28/87,0.003597122
1/31/87,0.006334842
12/31/86,0.000905797
11/30/86,0.000906618
10/31/86,0.000907441
9/30/86,0.004557885
8/31/86,0.001826484
7/31/86,0
6/30/86,0.005509642
5/31/86,0.002762431
4/30/86,-0.001838235
3/31/86,-0.004574565
2/28/86,-0.002737226
1/31/86,0.002744739
12/31/85,0.002752294
11/30/85,0.00275989
10/31/85,0.003693444
9/30/85,0.002777778
8/31/85,0.001855288
7/31/85,0.001858736
6/30/85,0.002795899
5/31/85,0.003741815
4/30/85,0.004699248
3/31/85,0.003773585
2/28/85,0.004739336
1/31/85,0.001899335
12/31/84,0
11/30/84,0
10/31/84,0.002857143
9/30/84,0.004784689
8/31/84,0.003842459
7/31/84,0.003857281
6/30/84,0.002901354
5/31/84,0.002909796
4/30/84,0.004873294
3/31/84,0.001953125
2/29/84,0.004906771
1/31/84,0.005923001
12/31/83,0.000988142
11/30/83,0.001980198
10/31/83,0.002979146
9/30/83,0.00499002
8/31/83,0.003003003
7/31/83,0.004020101
6/30/83,0.003024194
5/31/83,0.006085193
4/30/83,0.007150153
3/31/83,0
2/28/83,0.001022495
1/31/83,0.00204918
12/31/82,-0.004081633
11/30/82,-0.00203666
10/31/82,0.003064351
9/30/82,0.002047083
8/31/82,0.002051282
7/31/82,0.005154639
6/30/82,0.012526096
5/31/82,0.009483667
4/30/82,0.004232804
3/31/82,-0.001057082
2/28/82,0.003181336
1/31/82,0.003191489
12/31/81,0.003201708
11/30/81,0.003211991
10/31/81,0.002145923
9/30/81,0.009750813
8/31/81,0.007641921
7/31/81,0.011037528
6/30/81,0.008908686
5/31/81,0.007856341
4/30/81,0.006779661
3/31/81,0.006825939
2/28/81,0.010344828
1/31/81,0.00811124
12/31/80,0.009356725
11/30/80,0.008254717
10/31/80,0.00952381
9/30/80,0.008403361
8/31/80,0.007255139
7/31/80,0
6/30/80,0.011002445
5/31/80,0.009876543
4/30/80,0.011235955
3/31/80,0.015209125
2/29/80,0.014138817
1/31/80,0.014341591
12/31/79,0.010540184
11/30/79,0.009308511
10/31/79,0.008042895
9/30/79,0.010840108
8/31/79,0.009575923
7/31/79,0.011065007
6/30/79,0.011188811
5/31/79,0.012747875
4/30/79,0.011461318
3/31/79,0.010130246
2/28/79,0.011713031
1/31/79,0.008862629
12/31/78,0.004451039
11/30/78,0.004470939
10/31/78,0.009022556
9/30/78,0.007575758
8/31/78,0.00456621
7/31/78,0.007668712
6/30/78,0.010852713
5/31/78,0.009389671
4/30/78,0.007886435
3/31/78,0.007949126
2/28/78,0.0064
1/31/78,0.006441224
12/31/77,0.003231018
11/30/77,0.00487013
10/31/77,0.003257329
9/30/77,0.003267974
8/31/77,0.003278689
7/31/77,0.004942339
6/30/77,0.006633499
5/31/77,0.005
4/30/77,0.008403361
3/31/77,0.00676819
2/28/77,0.01025641
1/31/77,0.005154639
12/31/76,0.003448276
11/30/76,0.001727116
10/31/76,0.005208333
9/30/76,0.003484321
8/31/76,0.00525394
7/31/76,0.00528169
6/30/76,0.005309735
5/31/76,0.007130125
4/30/76,0.003577818
3/31/76,0.001792115
2/29/76,0.003597122
1/31/76,0.001801802
12/31/75,0.003616637
11/30/75,0.007285974
10/31/75,0.005494505
9/30/75,0.005524862
8/31/75,0.001845018
7/31/75,0.01119403
6/30/75,0.007518797
5/31/75,0.005671078
4/30/75,0.003795066
3/31/75,0.003809524
2/28/75,0.007677543
1/31/75,0.003853565
12/31/74,0.00776699
11/30/74,0.007827789
10/31/74,0.009881423
9/30/74,0.012
8/31/74,0.012145749
7/31/74,0.008163265
6/30/74,0.008230453
5/31/74,0.0125
4/30/74,0.0041841
3/31/74,0.012711864
2/28/74,0.012875536
1/31/74,0.008658009
12/31/73,0.006535948
11/30/73,0.006578947
10/31/73,0.008849558
9/30/73,0.002217295
8/31/73,0.018058691
7/31/73,0.002262443
6/30/73,0.006833713
5/31/73,0.006880734
4/30/73,0.006928406
3/31/73,0.009324009
2/28/73,0.007042254
1/31/73,0.002352941
12/31/72,0.002358491
11/30/72,0.002364066
10/31/72,0.004750594
9/30/72,0.002380952
8/31/72,0.002386635
7/31/72,0.004796163
6/30/72,0.002403846
5/31/72,0.002409639
4/30/72,0.002415459
3/31/72,0.002421308
2/29/72,0.00486618
1/31/72,0
12/31/71,0.004889976
11/30/71,0
10/31/71,0.00245098
9/30/71,0
8/31/71,0.002457002
7/31/71,0.002463054
6/30/71,0.007444169
5/31/71,0.004987531
4/30/71,0.0025
3/31/71,0.002506266
2/28/71,0.002512563
1/31/71,0
12/31/70,0.005050505
11/30/70,0.005076142
10/31/70,0.005102041
9/30/70,0.005128205
8/31/70,0
7/31/70,0.005154639
6/30/70,0.005181347
5/31/70,0.002597403
4/30/70,0.007853403
3/31/70,0.005263158
2/28/70,0.005291005
1/31/70,0.00265252
12/31/69,0.005333333
11/30/69,0.00536193
10/31/69,0.005390836
9/30/69,0.002702703
8/31/69,0.005434783
7/31/69,0.005464481
6/30/69,0.005494505
5/31/69,0.002754821
4/30/69,0.005540166
3/31/69,0.008379888
2/28/69,0.005617978
1/31/69,0.002816901
12/31/68,0.002824859
11/30/68,0.002832861
10/31/68,0.005698006
9/30/68,0.002857143
8/31/68,0.00286533
7/31/68,0.005763689
6/30/68,0.005797101
5/31/68,0.002906977
4/30/68,0.002915452
3/31/68,0.002923977
2/29/68,0.002932551
1/31/68,0.005899705
12/31/67,0.00295858
11/30/67,0.002967359
10/31/67,0.00297619
9/30/67,0.002985075
8/31/67,0.002994012
7/31/67,0.003003003
6/30/67,0.003012048
5/31/67,0.003021148
4/30/67,0.003030303
3/31/67,0.003039514
2/28/67,0
1/31/67,0
12/31/66,0
11/30/66,0
10/31/66,0.006116208
9/30/66,0
8/31/66,0.006153846
7/31/66,0.00308642
6/30/66,0.003095975
5/31/66,0
4/30/66,0.00623053
3/31/66,0.003125
2/28/66,0.006289308
1/31/66,0
12/31/65,0.003154574
11/30/65,0
10/31/65,0.003164557
9/30/65,0
8/31/65,0
7/31/65,0
6/30/65,0.006369427
5/31/65,0
4/30/65,0.003194888
3/31/65,0.003205128
2/28/65,0
1/31/65,0
12/31/64,0
11/30/64,0.003215434
10/31/64,0
9/30/64,0.003225806
8/31/64,-0.003215434
7/31/64,0.003225806
6/30/64,0.003236246
5/31/64,0
4/30/64,0
3/31/64,0
2/29/64,0
1/31/64,0
12/31/63,0.003246753
11/30/63,0
10/31/63,0.003257329
9/30/63,0
8/31/63,0
7/31/63,0.003267974
6/30/63,0.003278689
5/31/63,0
4/30/63,0
3/31/63,0.003289474
2/28/63,0
1/31/63,0
12/31/62,0
11/30/62,0
10/31/62,0
9/30/62,0.00330033
8/31/62,0
7/31/62,0.003311258
6/30/62,0
5/31/62,0
4/30/62,0.003322259
3/31/62,0
2/28/62,0.003333333
1/31/62,0
12/31/61,0
11/30/61,0
10/31/61,0
