Date,Facebook,Amaxon,Apple,Netlfix,Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2022,$120.26 ,$84.18 ,$129.61 ,$291.12 ,$88.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/2022,$115.62 ,$81.82 ,$126.04 ,$276.88 ,$86.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2022,$116.88 ,$83.04 ,$130.03 ,$284.17 ,$87.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/2022,$118.04 ,$85.25 ,$131.86 ,$294.97 ,$89.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2022,$117.12 ,$83.79 ,$132.23 ,$297.75 ,$88.26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/2022,$119.76 ,$86.77 ,$135.45 ,$297.96 ,$90.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/20/2022,$117.09 ,$85.19 ,$132.30 ,$288.19 ,$89.63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2022,$114.48 ,$84.92 ,$132.37 ,$288.30 ,$89.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2022,$119.43 ,$87.86 ,$134.51 ,$290.71 ,$90.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2022,$116.15 ,$88.45 ,$136.50 ,$290.41 ,$91.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2022,$121.59 ,$91.58 ,$143.21 ,$317.83 ,$95.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/2022,$120.15 ,$92.49 ,$145.47 ,$320.34 ,$95.85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2022,$114.71 ,$90.55 ,$144.49 ,$315.18 ,$93.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/2022,$115.90 ,$89.09 ,$142.16 ,$320.01 ,$93.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2022,$115.33 ,$90.35 ,$142.65 ,$310.26 ,$93.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2022,$113.93 ,$88.46 ,$140.94 ,$308.42 ,$95.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/2022,$114.12 ,$88.25 ,$142.91 ,$305.56 ,$97.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2022,$122.43 ,$91.01 ,$146.63 ,$312.59 ,$99.87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2022,$123.49 ,$94.13 ,$147.81 ,$320.41 ,$100.83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2022,$120.44 ,$95.50 ,$148.31 ,$316.95 ,$101.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2022,$118.10 ,$96.54 ,$148.03 ,$305.53 ,$101.45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2022,$109.46 ,$92.42 ,$141.17 ,$280.96 ,$95.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2022,$108.78 ,$93.95 ,$144.22 ,$281.17 ,$96.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2022,$111.41 ,$93.41 ,$148.11 ,$285.54 ,$97.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2022,$112.24 ,$94.13 ,$151.07 ,$291.50 ,$98.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2022,$111.44 ,$93.20 ,$150.18 ,$286.69 ,$97.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2022,$109.86 ,$92.46 ,$148.01 ,$285.05 ,$95.83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2022,$112.05 ,$94.14 ,$151.29 ,$287.98 ,$97.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022,$111.45 ,$94.85 ,$150.72 ,$295.28 ,$98.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2022,$113.23 ,$97.12 ,$148.79 ,$306.02 ,$98.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2022,$117.08 ,$98.94 ,$150.04 ,$310.20 ,$98.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2022,$114.22 ,$98.49 ,$148.28 ,$299.27 ,$96.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2022,$113.02 ,$100.79 ,$149.70 ,$290.13 ,$96.73 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2022,$111.87 ,$96.63 ,$146.87 ,$274.97 ,$94.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2022,$101.47 ,$86.14 ,$134.87 ,$254.66 ,$87.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2022,$96.47 ,$89.98 ,$139.50 ,$263.46 ,$88.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2022,$96.72 ,$90.53 ,$138.92 ,$258.60 ,$88.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2022,$90.79 ,$90.98 ,$138.38 ,$260.79 ,$86.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2022,$88.91 ,$89.30 ,$138.88 ,$269.06 ,$83.49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2022,$90.54 ,$92.12 ,$145.03 ,$273.00 ,$87.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2022,$95.20 ,$96.79 ,$150.65 ,$286.75 ,$90.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2022,$93.16 ,$102.44 ,$153.34 ,$291.88 ,$94.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2022,$99.20 ,$103.41 ,$155.74 ,$295.72 ,$96.58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2022,$97.94 ,$110.96 ,$144.80 ,$296.94 ,$92.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2022,$129.82 ,$115.66 ,$149.35 ,$298.62 ,$94.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2022,$137.51 ,$120.60 ,$152.34 ,$291.02 ,$104.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2022,$129.72 ,$119.82 ,$149.45 ,$282.45 ,$102.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2022,$130.01 ,$119.32 ,$147.27 ,$289.57 ,$101.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2022,$131.53 ,$115.25 ,$143.39 ,$268.16 ,$100.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2022,$133.23 ,$115.07 ,$143.86 ,$272.38 ,$100.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2022,$132.80 ,$116.36 ,$143.75 ,$240.86 ,$101.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2022,$134.04 ,$113.79 ,$142.41 ,$245.10 ,$100.78 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2022,$126.76 ,$106.90 ,$138.38 ,$230.00 ,$97.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
